time,seconds_elapsed,z,y,x
1757088825546686000,0.01868603515625,-9.63633844152391,-0.15270131131247616,-1.8132982532277702
1757088825556732000,0.02873193359375,-9.641418521267175,-0.20580948150521142,-1.7807523666709661
1757088825566777900,0.03877783203125,-9.644778353089094,-0.260536421139352,-1.7552078833088278
1757088825576824000,0.048823974609375,-9.648292498689889,-0.314867365459539,-1.7267577416330575
1757088825586870000,0.0588701171875,-9.652930095362663,-0.36782468333896245,-1.689978016898781
1757088825596917000,0.0689169921875,-9.659216628286242,-0.4199837635127827,-1.641197473247349
1757088825606963000,0.078962890625,-9.667896193826198,-0.47330107381101694,-1.5742140411682426
1757088825617009000,0.0890087890625,-9.678010760605334,-0.5299151240997017,-1.491872296437621
1757088825627055900,0.099055908203125,-9.687954646992683,-0.5904529237033799,-1.4018866128250955
1757088825637101800,0.109101806640625,-9.696738841950893,-0.6562319849614053,-1.3088159688092766
1757088825647147800,0.119147705078125,-9.703319973906874,-0.7274929482292384,-1.2193135386690497
1757088825657194800,0.12919482421875,-9.705656307899952,-0.8000126063212751,-1.1535140556775032
1757088825667241000,0.139240966796875,-9.702985042864084,-0.870669100889936,-1.124457034149766
1757088825677287000,0.149286865234375,-9.695911158955097,-0.9403756743226199,-1.129330923796445
1757088825687334100,0.159334228515625,-9.684600075867772,-1.0095338200923054,-1.166081641631946
1757088825697380000,0.169380126953125,-9.667801501280069,-1.0791187399066984,-1.240765345890075
1757088825707426000,0.179426025390625,-9.64465443444848,-1.1537418000187725,-1.3490389658652244
1757088825717473000,0.18947314453125,-9.614383214825391,-1.2422351261816917,-1.4801605235949158
1757088825727519000,0.19951904296875,-9.576265373355149,-1.3488631709069012,-1.626683356335014
1757088825737566000,0.20956591796875,-9.530462822601198,-1.4694905148901045,-1.7836081944935023
1757088825747612000,0.21961181640625,-9.477263147333264,-1.5994309000112115,-1.9477385801166296
1757088825757658000,0.229658203125,-9.414487834468483,-1.7298492779076098,-2.13200033801198
1757088825767705000,0.239705078125,-9.342181892192363,-1.856582537550479,-2.333906181408465
1757088825777751000,0.2497509765625,-9.268337488302588,-1.9800930357545614,-2.5194313833683726
1757088825787797000,0.259796875,-9.199275057992338,-2.0960031419575214,-2.6740415148437022
1757088825797844000,0.269843994140625,-9.138090813711285,-2.1969521181330083,-2.7998358862012624
1757088825807890000,0.279889892578125,-9.087515641728043,-2.274573264082521,-2.9006483765155076
1757088825817936000,0.289935791015625,-9.049095602440833,-2.3245709284387526,-2.9800381395727396
1757088825827982800,0.29998291015625,-9.019719870352745,-2.3475382547892627,-3.050261722616851
1757088825838028800,0.31002880859375,-8.996673341286181,-2.348814996726811,-3.1166210314482448
1757088825848075800,0.32007568359375,-8.981469342413543,-2.336610179670155,-3.1692025748178363
1757088825858122000,0.3301220703125,-8.964344020089506,-2.3188642412297424,-3.2301378127738833
1757088825868168000,0.34016796875,-8.937097116723656,-2.3021122822627422,-3.316467019705474
1757088825878215200,0.350215087890625,-8.900229567575455,-2.290807628916204,-3.421768930393457
1757088825888261000,0.36026123046875,-8.859310697209834,-2.2894665895707904,-3.5272280774697657
1757088825898307000,0.37030712890625,-8.818062741020322,-2.3016170460917054,-3.621423779992759
1757088825908354000,0.38035400390625,-8.773000194978714,-2.3276151184402405,-3.7130928866475816
1757088825918400000,0.39039990234375,-8.722253173559903,-2.3649856486745175,-3.8078243034824726
1757088825928446000,0.400446044921875,-8.672561214151978,-2.405381371948868,-3.8950235712468624
1757088825938493000,0.410492919921875,-8.624910405182838,-2.4299898896351455,-3.9845270243003963
1757088825948539100,0.4205390625,-8.5882035995543,-2.4229316416867075,-4.067253530564904
1757088825958585000,0.430585205078125,-8.568622116249799,-2.3846909044891595,-4.130659250287711
1757088825968632000,0.440632080078125,-8.565066469594836,-2.3287154808975754,-4.169785099756718
1757088825978678000,0.450677978515625,-8.573703365036845,-2.2653419098787007,-4.186911006602645
1757088825988725000,0.46072509765625,-8.589075121691822,-2.2026512065574524,-4.188853665103018
1757088825998771000,0.47077099609375,-8.607902571758627,-2.144733708987385,-4.18025242549628
1757088826008817000,0.48081689453125,-8.629211901769041,-2.092446180128306,-4.162782235257327
1757088826018863900,0.49086376953125,-8.651842835772037,-2.0445636082299052,-4.139536091965437
1757088826028909800,0.500909912109375,-8.672913680851458,-2.0015493730202314,-4.1164007155716416
1757088826038956000,0.5109560546875,-8.688954715070128,-1.9657224189661442,-4.099803216513991
1757088826049003000,0.5210029296875,-8.700335940784216,-1.9362594469860195,-4.0896740366876125
1757088826059049000,0.531049072265625,-8.708248613604903,-1.912955143766105,-4.083796376825869
1757088826069095000,0.541094970703125,-8.71280437721312,-1.8966002212926745,-4.08170671107024
1757088826079142000,0.551141845703125,-8.711658714309333,-1.8857925576828418,-4.089152935422956
1757088826089187800,0.561187744140625,-8.703259719276428,-1.8826717953138052,-4.1084310518667095
1757088826099235000,0.571235107421875,-8.681196356028318,-1.89263599383682,-4.150318182742596
1757088826109281000,0.581281005859375,-8.641926421913505,-1.9183871056869626,-4.2198672275260085
1757088826119327000,0.591326904296875,-8.590964296439289,-1.9552938178017734,-4.306105249042809
1757088826129374000,0.6013740234375,-8.534071611872315,-1.995283444493264,-4.399868989889323
1757088826139420200,0.611420166015625,-8.476914723411202,-2.032082020058483,-4.492542597411573
1757088826149466000,0.621466064453125,-8.42975199021995,-2.0610254982091485,-4.567476257842779
1757088826159513000,0.63151318359375,-8.398893326097726,-2.080372588235885,-4.615303592422604
1757088826169559000,0.64155908203125,-8.384138824558258,-2.0904500378750264,-4.637523315276205
1757088826179605000,0.65160498046875,-8.367837678098677,-2.0984885290324686,-4.6632630289494985
1757088826189652000,0.66165185546875,-8.320536413219571,-2.1154563227072356,-4.739610355570912
1757088826199698000,0.671697998046875,-8.224683006617427,-2.143186625675857,-4.892005733606219
1757088826209745000,0.681744873046875,-8.082455386853217,-2.1761776256516576,-5.109653043752909
1757088826219790800,0.691790771484375,-7.904419371604919,-2.209990317273885,-5.367167084863782
1757088826229837000,0.701837158203125,-7.712607928982377,-2.240284479381144,-5.627360574316978
1757088826239883800,0.7118837890625,-7.536616571304202,-2.2593593283377587,-5.85363893468678
1757088826249930000,0.721929931640625,-7.395946117854118,-2.2630255957603453,-6.029019466990232
1757088826259976000,0.731975830078125,-7.2846402905762195,-2.2553147291220723,-6.165870069891214
1757088826270023000,0.74202294921875,-7.183204699927568,-2.2447731691025195,-6.2875231036603445
1757088826280068900,0.75206884765625,-7.067373504179716,-2.237479358832538,-6.419992130476236
1757088826290114800,0.76211474609375,-6.918310485437512,-2.2311535168118772,-6.58250149076879
1757088826300162000,0.772162109375,-6.728182465857267,-2.2182738692335784,-6.780944334229827
1757088826310208000,0.7822080078125,-6.491556898996233,-2.1970966411702335,-7.0144731041193005
1757088826320255000,0.7922548828125,-6.197585643103718,-2.1855752763330933,-7.278982118684053
1757088826330301000,0.802301025390625,-5.8362084919363255,-2.206397699609399,-7.565769016030431
1757088826340347100,0.81234716796875,-5.402502602139115,-2.2512658921226856,-7.868617990383505
1757088826350394000,0.82239404296875,-4.914572370201349,-2.297754963836074,-8.169313001573085
1757088826360440000,0.832440185546875,-4.4274648528233165,-2.320888732794672,-8.436908291715383
1757088826370486000,0.842486083984375,-3.9907483830332753,-2.299663573936373,-8.657706174847483
1757088826380533000,0.852532958984375,-3.6146176071092486,-2.227040966926515,-8.83997763570845
1757088826390579000,0.862578857421875,-3.2938547904029485,-2.1094744718186558,-8.992832447949052
1757088826400626000,0.8726259765625,-3.0099618609324095,-1.9620675497204063,-9.124736242097615
1757088826410671900,0.882671875,-2.7420652497559783,-1.7991987084656953,-9.241988410559296
1757088826420718000,0.892718017578125,-2.479772157675028,-1.6313161307021975,-9.346653484648465
1757088826430764800,0.902764892578125,-2.200507764787972,-1.4693829628624022,-9.44293709936142
1757088826440811000,0.91281103515625,-1.873159724472463,-1.32072253357172,-9.535060087263584
1757088826450857000,0.92285693359375,-1.4937648321859538,-1.1857168278850614,-9.619415363773703
1757088826460904000,0.932904052734375,-1.0885693628843873,-1.0625533164877443,-9.687950555339455
1757088826470950000,0.942949951171875,-0.6883212137918919,-0.9490057016324251,-9.736323248842359
1757088826480995800,0.952995849609375,-0.3208392429433763,-0.84107117741853,-9.76524656098783
